event_id,flow_id,sensor_id,cluster_id,grid_id,batch_id,src,dst,src_role,dst_role,link_type,start_time_sec,end_time_sec,payload_bytes,distance_m,rate_bps,deadline_sec,success_by_deadline
120,S356,356,38,38_1,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,583.7012126025776,583.703804588277,1740,,671300000.0,1440.0,True
121,S17,17,38,38_7,12,S_17,UAV_2,SENSOR,SLAVE,access,586.1288849757974,586.4223629155039,400,54.97175141833723,1362964.454500672,1560.0,True
122,S17,17,38,38_7,12,UAV_2,UAV_0,SLAVE,MASTER,relay,586.4223629155039,586.4727276823276,400,75.90619465818303,7942060.0,1560.0,True
123,S17,17,38,38_7,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,586.4727276823276,586.473323541109,400,,671300000.0,1560.0,True
124,S421,421,38,38_7,12,S_421,UAV_2,SENSOR,SLAVE,access,586.4727276823276,587.3828238583767,1245,54.58692892886307,1367987.2883376596,1500.0,True
125,S421,421,38,38_7,12,UAV_2,UAV_0,SLAVE,MASTER,relay,587.3828238583767,587.5395841951155,1245,75.90619465818303,7942060.0,1500.0,True
126,S421,421,38,38_7,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,587.5395841951155,587.5414388055729,1245,,671300000.0,1500.0,True
127,S321,321,38,38_7,12,S_321,UAV_2,SENSOR,SLAVE,access,587.5395841951156,588.7749633474932,1710,53.36418491667883,1384190.429884568,1500.0,True
128,S321,321,38,38_7,12,UAV_2,UAV_0,SLAVE,MASTER,relay,588.7749633474932,588.9902727256646,1710,75.90619465818303,7942060.0,1500.0,True
129,S321,321,38,38_7,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,588.9902727256646,588.9928200219554,1710,,671300000.0,1500.0,True
130,S347,347,38,38_3,12,S_347,UAV_3,SENSOR,SLAVE,access,581.2413113322236,581.9813206433953,985,57.48141567415223,1331064.3327451763,2400.0,True
131,S347,347,38,38_3,12,UAV_3,UAV_0,SLAVE,MASTER,relay,581.9813206433953,582.1053438816987,985,5.764365957375886,7942060.0,2400.0,True
132,S347,347,38,38_3,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,582.1053438816987,582.106811183948,985,,671300000.0,2400.0,True
133,S198,198,38,38_3,12,S_198,UAV_3,SENSOR,SLAVE,access,582.1053438816988,583.5205845322262,1515,82.98166724811784,1070489.3188557322,1320.0,True
134,S198,198,38,38_3,12,UAV_3,UAV_0,SLAVE,MASTER,relay,583.5205845322262,583.711341086571,1515,5.764365957375886,7942060.0,1320.0,True
135,S198,198,38,38_3,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,583.711341086571,583.7135979017058,1515,,671300000.0,1320.0,True
136,S22,22,38,38_3,12,S_22,UAV_3,SENSOR,SLAVE,access,583.711341086571,585.3603071448357,1770,82.63919373085587,1073399.8987600168,1560.0,True
137,S22,22,38,38_3,12,UAV_3,UAV_0,SLAVE,MASTER,relay,585.3603071448357,585.5831712380307,1770,5.764365957375886,7942060.0,1560.0,True
138,S22,22,38,38_3,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,585.5831712380307,585.5858079131386,1770,,671300000.0,1560.0,True
139,S277,277,38,38_9,13,S_277,UAV_0,SENSOR,MASTER,access,657.124833219206,658.2863426132674,1570,55.84571452660435,1351689.455141081,1560.0,True
140,S277,277,38,38_9,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0023457343493,1570,,669300000.0,1560.0,True
141,S423,423,38,38_9,13,S_423,UAV_0,SENSOR,MASTER,access,658.2863426132674,659.5033381248794,1645,55.84571452660415,1351689.4551410836,1680.0,True
142,S423,423,38,38_9,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0024577917227,1645,,669300000.0,1680.0,True
143,S188,188,38,38_6,13,S_188,UAV_1,SENSOR,SLAVE,access,647.9270451341692,648.2075742850577,368,59.05299544772803,1311806.629844196,1680.0,True
144,S188,188,38,38_6,13,UAV_1,UAV_0,SLAVE,MASTER,relay,648.2075742850577,648.2539098705355,368,57.47108544531727,7942060.0,1680.0,True
145,S188,188,38,38_6,13,UAV_0,SAT_0,MASTER,SATELLITE,satellite,792.0,792.0005498281787,368,,669300000.0,1680.0,True
146,S322,322,38,38_6,13,S_322,UAV_1,SENSOR,SLAVE,access,648.2539098705355,649.3698530012846,1415,62.795771614241204,1267985.761111506,1440.0,True
147,S322,322,38,38_6,13,UAV_1,UAV_0,SLAVE,MASTER,relay,649.3698530012846,649.5480183639235,1415,57.47108544531727,7942060.0,1440.0,True
